問題大カテゴリ,問題小カテゴリ,問題文,選択肢,正解番号,解説文,最新正誤フラグ,最終回答日時,付箋フラグ,削除フラグ
歯科医療補助論,歯科材料,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",0,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科医療補助論,歯科材料,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",1,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科医療補助論,歯科材料,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",2,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科医療補助論,口腔外科,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",3,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科医療補助論,口腔外科,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",0,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科医療補助論,口腔外科,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",1,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科医療補助論,治療の補助,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",2,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科予防処置論,歯周病,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",3,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科予防処置論,歯周病,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",0,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科予防処置論,う蝕予防,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",1,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科予防処置論,う蝕予防,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",3,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科予防処置論,フッ素,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",2,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科保健指導論,小学生,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",1,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科保健指導論,成人,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",2,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
歯科保健指導論,高齢者,歯は硬いですか,"[""硬い"",""硬くはない"",""硬かったらびっくり"",""やわらかいに決まってるよ""]",3,噛み潰さなきゃいけないので硬いです,TRUE,,FALSE,FALSE
